石块|[(300, 1)]
着眼于|[(647, 1)]
留范|[]
维纳尔杜姆|[(156, 1), (205, 1), (214, 3), (261, 1), (265, 4), (280, 2), (295, 1), (324, 1), (332, 1), (388, 1), (391, 3), (398, 3), (401, 1), (454, 2), (492, 5), (504, 2), (576, 1), (619, 3), (652, 3), (653, 1), (655, 1), (656, 1), (662, 1)]
信心|[(39, 1), (52, 1), (58, 1), (104, 1), (156, 1), (200, 1), (214, 1), (225, 3), (229, 1), (347, 1), (384, 1), (414, 1), (420, 2), (430, 1), (444, 1), (496, 1), (497, 1), (518, 1), (536, 1), (562, 1), (568, 1), (659, 1)]
圈|[(648, 1), (661, 1)]
律师|[(78, 1), (533, 1)]
数为|[(383, 1)]
期望|[(270, 1), (315, 1), (483, 1), (554, 1), (580, 1)]
场|[(4, 1), (19, 1), (20, 1), (23, 1), (29, 1), (34, 1), (36, 1), (37, 2), (39, 1), (44, 2), (46, 1), (50, 1), (80, 1), (83, 1), (91, 1), (94, 5), (102, 1), (111, 1), (112, 1), (121, 2), (132, 1), (138, 1), (148, 1), (155, 1), (159, 1), (173, 1), (174, 1), (186, 1), (189, 1), (191, 1), (197, 1), (207, 2), (209, 1), (210, 3), (211, 1), (221, 1), (235, 1), (236, 1), (242, 1), (244, 1), (246, 1), (247, 1), (248, 3), (250, 1), (262, 2), (268, 3), (272, 2), (273, 1), (275, 1), (284, 1), (285, 2), (287, 1), (288, 1), (302, 1), (307, 3), (311, 2), (315, 1), (318, 1), (323, 1), (325, 1), (326, 2), (334, 1), (337, 1), (338, 1), (343, 2), (351, 1), (355, 1), (356, 1), (359, 1), (366, 1), (367, 1), (374, 1), (380, 2), (385, 2), (398, 1), (400, 2), (402, 1), (404, 2), (409, 1), (410, 1), (414, 1), (415, 2), (417, 1), (422, 2), (426, 1), (428, 1), (429, 2), (430, 1), (432, 1), (434, 1), (435, 1), (441, 1), (444, 1), (446, 1), (450, 1), (456, 2), (458, 1), (459, 1), (460, 1), (463, 1), (469, 1), (471, 1), (473, 1), (477, 3), (480, 2), (492, 1), (509, 4), (512, 1), (524, 1), (526, 2), (533, 1), (542, 1), (547, 1), (549, 1), (568, 1), (572, 1), (578, 1), (579, 1), (581, 5), (583, 1), (590, 1), (592, 7), (594, 1), (595, 10), (601, 2), (609, 1), (612, 1), (620, 2), (623, 1), (626, 2), (628, 1), (629, 1), (639, 3), (641, 1), (642, 1), (643, 1), (648, 2), (649, 1), (650, 1), (659, 1), (663, 1), (669, 1)]
丢掉|[(156, 1)]
大声|[(94, 1), (580, 1)]
